waypoint_id,wp_publish_ns,wp_received_ns,wp_received_latency_ms,px4_response_ns,wp_to_px4_ms,total_end_to_end_ms
0,1761112293547361489,1761112293548922925,1.56,1761112293581741788,34.38,N/A
0,1761112293754385085,1761112293755257640,0.87,,,
0,1761112293754385085,1761112293755257640,0.87,1761112293807359382,52.97,N/A
0,1761112293968039800,1761112293969933684,1.89,,,
0,1761112293968039800,1761112293969933684,1.89,1761112294050999074,82.96,N/A
0,1761112294156110906,1761112294163344233,7.23,,,
0,1761112294156110906,1761112294163344233,7.23,1761112294165133774,9.02,N/A
0,1761112294380746347,1761112294385841840,5.10,,,
0,1761112294380746347,1761112294385841840,5.10,1761112294476421162,95.67,N/A
0,1761112294589939362,1761112294592466279,2.53,,,
0,1761112294589939362,1761112294592466279,2.53,1761112294615321777,25.38,N/A
0,1761112295016983166,1761112295062615071,45.63,,,
0,1761112295016983166,1761112295062615071,45.63,1761112295160826643,143.84,N/A
0,1761112295880603298,1761112295896228108,15.62,,,
0,1761112295880603298,1761112295896228108,15.62,1761112295976761921,96.16,N/A
0,1761112296714370785,1761112296715697912,1.33,,,
0,1761112296714370785,1761112296715697912,1.33,1761112296842024749,127.65,N/A
0,1761112297408630217,1761112297458864930,50.23,,,
0,1761112297408630217,1761112297458864930,50.23,1761112297928226650,519.60,N/A
0,1761112298076490649,1761112298078850929,2.36,,,
0,1761112298076490649,1761112298078850929,2.36,1761112298093251613,16.76,N/A
0,1761112298770096965,1761112298832676983,62.58,,,
0,1761112298770096965,1761112298832676983,62.58,1761112298854200387,84.10,N/A
0,1761112299481769637,1761112299484176481,2.41,,,
0,1761112299481769637,1761112299484176481,2.41,1761112299510688711,28.92,N/A
0,1761112299849754754,1761112299863230719,13.48,,,
0,1761112299849754754,1761112299863230719,13.48,1761112299965638613,115.88,N/A
0,1761112300570083838,1761112300575290319,5.21,,,
0,1761112300570083838,1761112300575290319,5.21,1761112300640813003,70.73,N/A
0,1761112300871860175,1761112300873269023,1.41,,,
0,1761112300871860175,1761112300873269023,1.41,1761112301090896273,219.04,N/A
0,1761112301170613962,1761112301193400291,22.79,,,
0,1761112301170613962,1761112301193400291,22.79,1761112301377684534,207.07,N/A
0,1761112301454362994,1761112301465041311,10.68,,,
0,1761112301454362994,1761112301465041311,10.68,1761112301518325698,63.96,N/A
0,1761112301807366160,1761112301815598326,8.23,,,
0,1761112301807366160,1761112301815598326,8.23,1761112301829528571,22.16,N/A
0,1761112302115450185,1761112302118012409,2.56,,,
0,1761112302115450185,1761112302118012409,2.56,1761112302135540249,20.09,N/A
0,1761112302452796495,1761112302463944422,11.15,,,
0,1761112302452796495,1761112302463944422,11.15,1761112302546539908,93.74,N/A
0,1761112302709562046,1761112302726504004,16.94,,,
0,1761112302709562046,1761112302726504004,16.94,1761112302776590817,67.03,N/A
0,1761112303368490054,1761112303383870849,15.38,,,
0,1761112303368490054,1761112303383870849,15.38,1761112303471984506,103.49,N/A
0,1761112303977063401,1761112303978553540,1.49,,,
0,1761112303977063401,1761112303978553540,1.49,1761112303981657602,4.59,N/A
0,1761112304478622748,1761112304480125199,1.50,,,
0,1761112304478622748,1761112304480125199,1.50,1761112304551031125,72.41,N/A
0,1761112304994906725,1761112305005318331,10.41,,,
0,1761112304994906725,1761112305005318331,10.41,1761112305041250589,46.34,N/A
0,1761112305255185857,1761112305259694959,4.51,,,
0,1761112305255185857,1761112305259694959,4.51,1761112305313563913,58.38,N/A
0,1761112305451123911,1761112305456625376,5.50,,,
0,1761112305451123911,1761112305456625376,5.50,1761112305474211078,23.09,N/A
0,1761112305678727320,1761112305679719395,0.99,,,
0,1761112305678727320,1761112305679719395,0.99,1761112305712188155,33.46,N/A
0,1761112305985576023,1761112305991952126,6.38,,,
0,1761112306202426801,1761112306210723071,8.30,,,
0,1761112306389953853,1761112306402293018,12.34,,,
0,1761112306389953853,1761112306402293018,12.34,1761112306492715183,102.76,N/A
0,1761112306770917024,1761112306772249299,1.33,,,
0,1761112306770917024,1761112306772249299,1.33,1761112306793644520,22.73,N/A
0,1761112306977119510,1761112306986366759,9.25,,,
0,1761112306977119510,1761112306986366759,9.25,1761112306987815844,10.70,N/A
0,1761112307177123131,1761112307184008746,6.89,,,
0,1761112307177123131,1761112307184008746,6.89,1761112307219833182,42.71,N/A
0,1761112307438812058,1761112307441676413,2.86,,,
0,1761112307438812058,1761112307441676413,2.86,1761112307473109323,34.30,N/A
0,1761112307734972397,1761112307743935301,8.96,,,
0,1761112307734972397,1761112307743935301,8.96,1761112307767237981,32.27,N/A
0,1761112307983476854,1761112307987307852,3.83,,,
0,1761112307983476854,1761112307987307852,3.83,1761112308021024576,37.55,N/A
0,1761112308245570027,1761112308253669504,8.10,,,
0,1761112308245570027,1761112308253669504,8.10,1761112308282771157,37.20,N/A
